timestamp;open;low;high;close;volume
9/7/2020;592;493;592;592;27379572
9/8/2020;642;642;740;740;17840364
9/9/2020;790;740;923;824;30862132
9/10/2020;824;770;859;770;974671
9/11/2020;721;721;721;721;464206
9/14/2020;671;671;829;711;8950802
9/15/2020;711;661;721;661;1952885
9/16/2020;681;617;681;617;861707
9/17/2020;597;577;622;617;1612778
9/18/2020;577;577;617;577;679304
9/21/2020;577;538;587;548;1422682
9/22/2020;548;513;563;563;1252223
9/23/2020;563;543;612;592;705723
9/24/2020;592;563;602;602;396387
9/25/2020;602;563;612;612;516437
9/28/2020;612;592;632;632;900576
9/29/2020;622;617;652;652;307412
9/30/2020;652;642;691;686;424932
10/1/2020;686;671;691;671;278463
10/2/2020;671;656;686;686;257510
10/5/2020;696;681;701;686;173394
10/6/2020;671;656;686;686;249108
10/7/2020;686;666;701;696;180682
10/8/2020;696;676;701;701;294557
10/9/2020;701;686;740;711;122985
10/12/2020;691;691;770;721;375636
10/13/2020;721;706;740;716;173292
10/14/2020;716;671;716;686;487183
10/15/2020;686;647;686;671;284131
10/16/2020;686;637;686;656;155578
10/19/2020;696;666;696;681;124503
10/20/2020;681;671;691;681;254675
10/21/2020;691;666;691;691;219855
10/22/2020;691;681;706;706;137358
10/23/2020;706;691;711;711;418048
10/26/2020;696;696;731;721;141610
10/27/2020;726;721;740;740;350837
10/28/2020;726;721;740;740;0
10/29/2020;726;721;740;740;0
10/30/2020;726;721;740;740;0
11/2/2020;740;726;740;726;167725
11/3/2020;726;726;790;731;239391
11/4/2020;740;721;760;731;110636
11/5/2020;760;726;790;750;206089
11/6/2020;750;731;770;750;334135
11/9/2020;740;740;765;745;93428
11/10/2020;755;731;765;750;96262
11/11/2020;731;731;760;750;177038
11/12/2020;760;736;765;740;195156
11/13/2020;740;736;755;750;74702
11/16/2020;750;740;765;765;160538
11/17/2020;760;740;760;750;404383
11/18/2020;750;740;750;750;50003
11/19/2020;740;740;760;760;31885
11/20/2020;765;745;770;760;44335
11/23/2020;750;745;750;745;47878
11/24/2020;745;745;750;745;18624
11/25/2020;770;736;770;750;97477
11/26/2020;740;740;750;750;75005
11/27/2020;745;736;750;750;125819
11/30/2020;745;721;765;765;167219
12/1/2020;760;731;770;770;251436
12/2/2020;770;760;770;770;84115
12/3/2020;770;745;770;745;219754
12/4/2020;745;745;765;765;97173
12/7/2020;765;765;810;800;551662
12/8/2020;805;770;810;810;217800
12/9/2020;805;770;810;810;0
12/10/2020;790;790;810;790;44700
12/11/2020;790;790;835;815;81300
12/14/2020;825;805;890;805;57800
